epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,5733.74,1.3654,1.18576,1.30796,0.35393,0.31373,0.21161,0.06001,2.8128,2.38315,2.4241,0.0002081,0.0002081,0.0002081
183,5766.13,1.38997,1.23918,1.3184,0.3548,0.31373,0.21357,0.05773,2.82061,2.36911,2.42698,0.0001982,0.0001982,0.0001982
184,5797.4,1.42753,1.19829,1.2738,0.3548,0.31373,0.21357,0.05773,2.82061,2.36911,2.42698,0.0001883,0.0001883,0.0001883
185,5829.5,1.3514,1.14075,1.24826,0.38391,0.34222,0.239,0.06026,2.8227,2.36521,2.41091,0.0001784,0.0001784,0.0001784
186,5861.06,1.4416,1.2256,1.30903,0.38391,0.34222,0.239,0.06026,2.8227,2.36521,2.41091,0.0001685,0.0001685,0.0001685
187,5892.84,1.29243,1.08858,1.21397,0.33032,0.29991,0.21436,0.0579,2.83565,2.37383,2.41529,0.0001586,0.0001586,0.0001586
188,5924.9,1.44854,1.17793,1.27178,0.307,0.29412,0.2282,0.06403,2.85333,2.40304,2.42998,0.0001487,0.0001487,0.0001487
189,5956.08,1.40601,1.20682,1.33345,0.307,0.29412,0.2282,0.06403,2.85333,2.40304,2.42998,0.0001388,0.0001388,0.0001388
190,5987.74,1.34609,1.1746,1.2551,0.28074,0.35294,0.22179,0.05663,2.87861,2.38405,2.45408,0.0001289,0.0001289,0.0001289
191,6020.32,1.31361,1.23623,1.27838,0.24998,0.33333,0.18465,0.0543,2.90636,2.40891,2.47169,0.000119,0.000119,0.000119
192,6051.32,1.3258,1.19185,1.25176,0.24998,0.33333,0.18465,0.0543,2.90636,2.40891,2.47169,0.0001091,0.0001091,0.0001091
193,6082.32,1.43153,1.33136,1.34884,0.31575,0.29412,0.17726,0.05347,2.93494,2.43025,2.51063,9.92e-05,9.92e-05,9.92e-05
194,6113.77,1.30823,1.21397,1.27974,0.31575,0.29412,0.17726,0.05347,2.93494,2.43025,2.51063,8.93e-05,8.93e-05,8.93e-05
195,6145,1.27465,1.13173,1.23151,0.25766,0.31373,0.17398,0.05461,2.93408,2.45108,2.5051,7.94e-05,7.94e-05,7.94e-05
196,6177.32,1.31255,1.2287,1.25505,0.36456,0.23529,0.18485,0.05538,2.92971,2.46014,2.49371,6.95e-05,6.95e-05,6.95e-05
197,6208.2,1.38148,1.23574,1.35053,0.36456,0.23529,0.18485,0.05538,2.92971,2.46014,2.49371,5.96e-05,5.96e-05,5.96e-05
198,6240,1.18881,1.13574,1.18725,0.37913,0.23529,0.19032,0.05881,2.90394,2.45963,2.46916,4.97e-05,4.97e-05,4.97e-05
199,6271.89,1.29848,1.12453,1.25809,0.41046,0.2549,0.19142,0.05901,2.89845,2.47816,2.47855,3.98e-05,3.98e-05,3.98e-05
200,6303.46,1.28249,1.12854,1.23286,0.41046,0.2549,0.19142,0.05901,2.89845,2.47816,2.47855,2.99e-05,2.99e-05,2.99e-05
